"dateofsleep","total_duration","total_duration_not_awake","total_deep","total_light","total_rem","total_wake","total_awake","total_restless","total_asleep","seven_day_avg_duration","thirty_day_avg_duration"
"2019-03-08",6.933333333333334,6.233333333333333,1.0333333333333334,3.933333333333333,1.2666666666666666,0.7,0,0,0,7.950000000000001,7.865833333333333
"2019-03-09",1.4833333333333334,1.4833333333333334,0,0,0,0,0,0,1.4833333333333334,6.880952380952381,7.561904761904761
"2019-03-11",6.883333333333334,5.916666666666667,1.15,3.283333333333333,1.4833333333333334,0.9666666666666667,0,0,0,6.571428571428571,7.531060606060605
"2019-03-12",7.7,6.766666666666667,1.3333333333333333,3.75,1.6833333333333333,0.9333333333333333,0,0,0,6.461904761904763,7.538405797101448
"2019-03-13",8.183333333333334,6.883333333333334,0.5333333333333333,4.666666666666667,1.6833333333333333,1.3,0,0,0,6.259523809523809,7.565277777777776
"2019-03-14",8.716666666666667,7.766666666666667,0.85,5.15,1.7666666666666666,0.95,0,0,0,6.6380952380952385,7.611333333333332
"2019-03-15",7.916666666666667,7.25,0.9166666666666666,3.5833333333333335,1.1166666666666667,0.6666666666666666,0,0.11666666666666667,1.5166666666666666,6.830952380952381,7.623076923076922
"2019-03-16",14.416666666666666,12.183333333333334,1.3166666666666667,8.466666666666667,2.4,2.2333333333333334,0,0,0,7.8999999999999995,7.874691358024689
"2019-03-17",8.1,7.116666666666666,0.9,4.65,1.5666666666666667,0.9833333333333333,0,0,0,8.845238095238095,7.882738095238094
"2019-03-24",7.3,6.316666666666666,0.7833333333333333,4.45,1.0833333333333333,0.9833333333333333,0,0,0,8.904761904761903,7.862643678160918
"2019-03-27",7.8,7.05,0.8833333333333333,5.016666666666667,1.15,0.75,0,0,0,8.91904761904762,7.860555555555554
"2019-03-28",6.966666666666667,6.133333333333334,1.1666666666666667,3.3666666666666667,1.6,0.8333333333333334,0,0,0,8.745238095238095,7.831720430107526
"2022-03-05",8.266666666666667,7.65,1.7666666666666666,4.016666666666667,1.8666666666666667,0.6166666666666667,0,0,0,8.68095238095238,7.820430107526881
"2022-03-06",7.833333333333333,7.066666666666666,1.1833333333333333,4.133333333333334,1.75,0.7666666666666667,0,0,0,8.66904761904762,7.799462365591398
"2022-03-07",6.9,6.233333333333333,0.15,4.766666666666667,1.3166666666666667,0.6666666666666666,0,0,0,7.595238095238095,7.809677419354839
"2022-03-08",9.233333333333333,8.516666666666667,1.2666666666666666,3.8666666666666667,1.8833333333333333,0.7166666666666667,0,0.16666666666666666,1.3333333333333333,7.757142857142858,7.853225806451613
"2022-03-09",7.783333333333333,6.916666666666667,1.0833333333333333,4.116666666666666,1.7166666666666666,0.8666666666666667,0,0,0,7.826190476190476,7.916129032258064
"2022-03-10",7.05,6.4,1.0666666666666667,4.116666666666666,1.2166666666666666,0.65,0,0,0,7.719047619047619,7.920430107526882
"2022-03-11",8.6,7.483333333333333,1.55,4.216666666666667,1.7166666666666666,1.1166666666666667,0,0,0,7.952380952380952,7.945161290322581
"2022-03-12",8,7.216666666666667,0.9166666666666666,4.366666666666666,1.9333333333333333,0.7833333333333333,0,0,0,7.914285714285714,7.954301075268819
"2022-03-13",10.033333333333333,9.066666666666666,1.0333333333333334,5.316666666666666,1.7166666666666666,0.9666666666666667,0,0,0,8.228571428571428,8.093010752688174
"2022-03-14",10.666666666666666,9.233333333333333,0.8166666666666667,5.983333333333333,2.433333333333333,1.4333333333333333,0,0,0,8.766666666666666,8.143010752688173
"2022-03-15",7.1,6.2,0.9666666666666667,3.6666666666666665,1.5666666666666667,0.9,0,0,0,8.46190476190476,8.080107526881722
"2022-03-16",7.916666666666667,7.25,1.1666666666666667,3.966666666666667,2.1166666666666667,0.6666666666666666,0,0,0,8.48095238095238,7.980645161290323
"2022-03-17",7.133333333333334,6.35,0.6,4.266666666666667,1.4833333333333334,0.7833333333333333,0,0,0,8.492857142857142,7.988172043010754
"2022-03-18",6.916666666666667,6.066666666666666,0.9666666666666667,3.95,1.15,0.85,0,0,0,8.252380952380951,7.922043010752687
"2022-03-19",9.666666666666666,8.383333333333333,1.2666666666666666,5.583333333333333,1.5333333333333334,1.2833333333333334,0,0,0,8.490476190476189,7.941935483870966
"2022-03-20",8.583333333333334,7.8,1.4166666666666667,4.666666666666667,1.7166666666666666,0.7833333333333333,0,0,0,8.283333333333333,7.945698924731182
"2022-03-21",7.6,6.466666666666667,1.2,4.066666666666666,1.2,1.1333333333333333,0,0,0,7.845238095238096,7.881182795698922
